port_cluster,centroid_lat,centroid_lon,n_stay_points,avg_duration_hours,matched_port_name,distance_to_port_km,is_validated_port
384.0,41.06620862429632,-70.41126194719585,224.0,4.854910714285714,,35.518689521621184,False
275.0,29.25762188918813,-88.90356803118011,222.0,6.361861861861861,,79.62023366611943,False
231.0,45.96440734544899,-85.87109942513824,218.0,9.57874617737003,PORT INLAND,0.4248493251293209,True
9.0,29.414091792526524,-93.66110124950356,211.0,42.73380726698262,,39.08006308459071,False
315.0,17.747615890219762,-64.69893742826751,211.0,11.428909952606634,CHRISTIANSTED,0.2879951718464845,True
50.0,22.21785492395495,-97.87678859936248,210.0,10.823015873015876,TAMPICO,1.050251593310639,True
100.0,34.7156797778741,-76.70092331670506,209.0,50.19537480063795,MOREHEAD CITY,0.13846398528018455,True
272.0,38.55383311141895,-90.24197441365384,209.0,9.52950558213716,,18.469711437329572,False
234.0,46.02164798942877,-83.88907635099628,207.0,16.049114331723025,,25.395441186033672,False
177.0,43.64390810652872,-79.35039843410533,207.0,30.270531400966185,TORONTO,4.025104693592275,True
